Country,Location,Accomodation,Room Price (Usd),Scheduled Month,Star Rating,Written Review
Philippines,Boracay,Secret Inn,$248.81 ,April,1,"Great stay, very relaxing. ?? Staff was friendly."
Thailand,Krabi,Grand Bungalow,$229.64 ,February,2,"Not what I expected, but okay for the price."
Philippines,Cebu,Mountain Bungalow,$196.07 ,July,1,Excellent service and amenities. 5 stars! ?
Thailand,Phuket,Sunset Suites,$115.02 ,July,5,Beautiful vibe with island charm ???. Housekeeping was on point.
Vietnam,Hanoi,Turtle Suites,$205.36 ,September,5,A bit noisy at night but otherwise great.
Indonesia,Jakarta,Grand Bungalow,$300.66 ,September,5,Excellent service and amenities. 5 stars! ?
Indonesia,Bali,Golden Villa,$136.53 ,February,1,"Great stay, very relaxing. ?? Staff was friendly."
Philippines,Palawan,Ocean Inn,$370.78 ,February,5,A bit noisy at night but otherwise great.
Malaysia,Kuala Lumpur,Golden Hostel,$399.21 ,February,4,Amazing views and delicious food! ?? Highly recommended.
Philippines,Siargao,Paradise Hostel,$118.21 ,March,2,Good value for money. nice breakfast.
Philippines,Palawan,Royal Bungalow,$36.76 ,June,2,Perfect for a family vacation. Kids loved the pool ??.
Vietnam,Hoi An,Mountain Hotel,$178.70 ,July,1,Excellent service and amenities. 5 stars! ?
Philippines,Cebu,Turtle Inn,$195.98 ,February,5,Absolutely magical experience! ?
Vietnam,Hanoi,Sunset Hotel,$72.11 ,May,3,Absolutely magical experience! ?
Thailand,Koh Samui,Turtle Inn,$53.36 ,September,1,Perfect for a family vacation. Kids loved the pool ??.
Vietnam,Da Nang,Ocean Inn,$230.46 ,May,3,A bit noisy at night but otherwise great.
Vietnam,Ho Chi Minh City,Hidden Inn,$348.10 ,August,3,Excellent service and amenities. 5 stars! ?
Indonesia,Uluwatu,Blue Villa,$324.64 ,September,3,"Not what I expected, but okay for the price."
Indonesia,Jakarta,Ocean Bungalow,$233.11 ,September,1,"Great stay, very relaxing. ?? Staff was friendly."
Indonesia,Bali,Paradise Villa,$128.90 ,August,3,Beautiful vibe with island charm ???. Housekeeping was on point.
Indonesia,Nusa Penida,Golden Hotel,$101.75 ,May,4,Room was clean but a bit small. Good location though.
Vietnam,Da Nang,Turtle Inn,$398.57 ,February,4,Excellent service and amenities. 5 stars! ?
Philippines,Boracay,Golden Hotel,$95.33 ,March,5,Beautiful vibe with island charm ???. Housekeeping was on point.
Malaysia,Kuala Lumpur,Ocean Resort,$192.15 ,July,4,Friendly staff but the wifi was slow.
Philippines,Siargao,Blue Resort,$384.82 ,July,2,Absolutely magical experience! ?
Vietnam,Hanoi,Golden Villa,$310.16 ,October,4,Absolutely magical experience! ?
Malaysia,Langkawi,Sunset Hotel,$300.54 ,October,2,Perfect for a family vacation. Kids loved the pool ??.
Vietnam,Ho Chi Minh City,Cozy Hostel,$219.59 ,August,4,A bit noisy at night but otherwise great.
Philippines,Boracay,Cozy Resort,$68.60 ,January,3,Good value for money. nice breakfast.
Malaysia,Langkawi,Ocean Bungalow,$308.28 ,November,2,Quiet and peaceful atmosphere. Will come back again.
Vietnam,Hanoi,Blue Lodge,$91.37 ,June,3,Excellent service and amenities. 5 stars! ?
Vietnam,Nha Trang,Palm Hotel,$382.15 ,May,1,Quiet and peaceful atmosphere. Will come back again.
